// PatSize	  TextSize	  Naive-RT	    KMP-RT
    100000	    790000	      9017	      4352
        10	    800000	      7310	      6313
       100	    800000	      7711	      6490
      1000	    800000	      7344	      6452
     10000	    800000	      7578	      5953
    100000	    800000	      8846	      5821
        10	    810000	      7336	      6937
       100	    810000	      7857	      5915
      1000	    810000	      6354	      6012
     10000	    810000	      6612	      5136
    100000	    810000	      7890	      3762
        10	    820000	      7762	      5895
       100	    820000	      7128	      6164
      1000	    820000	      6444	      5754
     10000	    820000	      6655	      5346
    100000	    820000	      8154	      3781
        10	    830000	      7277	      7806
       100	    830000	      6989	      7060
      1000	    830000	      6622	      7281
     10000	    830000	      7672	      6537
    100000	    830000	      9558	      7794
        10	    840000	      7588	      7313
       100	    840000	      8058	      7023
      1000	    840000	      8521	      6497
     10000	    840000	      8637	      6505
    100000	    840000	     10331	      3842
        10	    850000	      7999	      6075
       100	    850000	      7246	      7718
      1000	    850000	      8352	      6490
     10000	    850000	      7832	      5416
    100000	    850000	      9503	      3611
        10	    860000	      7782	      6859
       100	    860000	      7028	      6185
      1000	    860000	      6736	      6179
     10000	    860000	      8026	      5448
    100000	    860000	      8629	      3718
        10	    870000	      7710	      6349
       100	    870000	      7036	      6565
      1000	    870000	      8291	      6181
     10000	    870000	      7111	      5922
    100000	    870000	      9435	      3818
        10	    880000	      8053	      6198
       100	    880000	      7112	      6489
      1000	    880000	      7989	      6217
     10000	    880000	      7061	      5825
    100000	    880000	      8488	      4585
        10	    890000	      7605	      6366
       100	    890000	      7865	      6380
      1000	    890000	      7022	      6889
     10000	    890000	      7147	      5755
    100000	    890000	      8420	      4850
        10	    900000	      7903	      7720
       100	    900000	      7164	      6469
      1000	    900000	      7097	      7052
     10000	    900000	      7216	      5992
    100000	    900000	      8707	      3892
        10	    910000	      8235	      7555
       100	    910000	      7951	      6475
      1000	    910000	      7135	      6533
     10000	    910000	      7508	      5960
    100000	    910000	      9214	      3939
        10	    920000	      8167	      6561
       100	    920000	      7613	      6658
